,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,freja,genji,hanzo,illari,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,venture,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4
Environmental Kills - Avg per 10 Min,,,,0.14,,,0.17,,,0.22,,,,,,,0.22,,,,1.39,0.05,,,,,,,,0.08,0.47,0.13,,,,,,,0.11,,0.1,0.12,,
Amplification Matrix Assists,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Accuracy - Best in Game,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amplification Matrix Assists - Best in Game,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortality Field Deaths Prevented,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortality Field Deaths Prevented - Most in Game,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Accuracy,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortality Field Deaths Prevented - Avg per 10 Min,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amplification Matrix Assists - Avg per 10 Min,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artillery Kills,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artillery Kills - Most in Game,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Kills,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Kills - Most in Game,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault Kills,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Kills - Most in Game,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tactical Grenade Kills,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tactical Grenade Kills - Most in Game,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Kills - Avg per 10 Min,,,,,,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artillery Kills - Avg per 10 Min,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tactical Grenade Kills - Avg per 10 Min,,,,,,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault Kills - Avg per 10 Min,,,,,,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Kill - Most in Game,,,,,,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,
Critical Hit Kills - Avg per 10 Min,,,,,,0.44,,1.64,1.61,,0.55,,,2.81,0.33,0.19,,,1.68,1.1,3.37,1.2,,,,1.43,,0.53,2.26,,5.33,,0.67,1.84,0.38,,,,,,,,,1.16
Multikill,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,
Critical Hit Kills,,,,,,3,,14,4,,,,,7,2,2,,,47,2,2,23,,,,3,,5,13,,9,,8,19,,,,,,,,,,4
Overhealth Provided,,,,,,,11588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Provided - Most in Game,,,,,,,2817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whipshots Attempted,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players Knocked Back,,,,,,,115,,,,,,,,,,,,,,383,,,,,,,,,,,,,,,,,,,,,,,
Inspire Uptime Percentage,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whipshot Accuracy,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players Knocked Back - Avg per 10 Min NYI,,,,,,,19.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Provided - Avg per 10 Min,,,,,,,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players Knocked Back - Most in Game NYI,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knockback Kills - Most in Game,,,,,,,11,,14,,,,,,3,,8,,,,10,,,,,,2,,,4,,,,,,,,,,,3,,,
Environmental Kill,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,
Deadeye Kills,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deadeye Kills - Most in Game,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills - Most in Game,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills - Most in Game,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Range Final Blows,,,,,,,,6,,,,,,6,2,,,,,,,9,,,,,,,,,,,8,17,,,,,,,,,,
Long Range Final Blow - Most in Game,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Range Final Blows - Avg per 10 Min,,,,,,,,0.7,,,,,,2.41,0.33,,,,,,,0.47,,,,,,,,,,,0.67,1.64,,,,,,,,,,
Deadeye Kills - Avg per 10 Min,,,,,,,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills - Avg per 10 Min,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills - Avg per 10 Min,,,,,,,,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Kills - Most in Game,,,,,,,,5,2,,,,,3,2,,,,5,,2,3,,,,3,,2,4,,8,,2,3,,,,,,,,,,3
Self-Destruct Kills,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self-Destruct Kills - Most in Game,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimates Negated,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Negated - Most in Game,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Micro Missile Kills,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Mech Kills,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Missile Kills - Most in Game,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Mech Kill - Most in Game,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self-Destruct Kills - Avg per 10 Min,,,,,,,,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimates Negated - Avg per 10 Min,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,
Call Mech Kills - Avg per 10 Min,,,,,,,,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Missile Kills - Avg per 10 Min,,,,,,,,,15.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kills,,,,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kills - Most in Game,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Created,,,,,,,,,,125159,,,,,,,,,,,,50996,,,,,,,,,,4545,,,,,,,,,,,,
Overhealth Created - Most in Game,,,,,,,,,,3131,,,,,,,,,,,,5685,,,,,,,,,,1748,,,,,,,,,,,,
Rocket Punch Kills,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seismic Slam Kills,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seismic Slam Kills - Most in Game,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocket Punch Kills - Most in Game,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Created - Avg per 10 Min,,,,,,,,,,1591,,,,,,,,,,,,2656,,,,,,,,,,2533,,,,,,,,,,,,
Meteor Strike Kills - Avg per 10 Min,,,,,,,,,,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocket Punch Kills - Avg per 10 Min,,,,,,,,,,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seismic Slam Kills - Avg per 10 Min,,,,,,,,,,7.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focusing Beam Kills,,,,,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focusing Beam Kills - Most in Game,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Kills,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Kills - Most in Game,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplicate Kills,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplicate Kills - Most in Game,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Direct Hits - Most in Game,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focusing Beam Accuracy,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Direct Hit Accuracy,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplicate Kills - Avg per 10 Min,,,,,,,,,,,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focusing Beam Kills - Avg per 10 Min,,,,,,,,,,,12.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Kills - Avg per 10 Min,,,,,,,,,,,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Direct Hits - Avg per 10 Min,,,,,,,,,,,56.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assist - Most in Game,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melee Final Blow,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Kill,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Assist,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take Aim Kills,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take Aim Kills - Most in Game,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bola Shot Damage Done,,,,,,,,,,,,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bola Shot Damage Done - Most in Game,,,,,,,,,,,,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonus Ult Charge Gained,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonus Ult Charge Gained - Most in Game,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take Aim Accuracy,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take Aim Kills - Avg per 10 Min,,,,,,,,,,,,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bola Shot Damage Done - Avg per 10 Min,,,,,,,,,,,,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonus Ult Charge Gained - Avg per 10 Min,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kill - Most in Game,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game Played,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game Lost,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Objective Kill,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonblade Kills,,,,,,,,,,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonblade Kills - Most in Game,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Reflected,,,,,,,,,,,,,39982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Reflected - Most in Game,,,,,,,,,,,,,3828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swift Strike Resets,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swift Strike Resets - Most in Game,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonblade Kills - Avg per 10 Min,,,,,,,,,,,,,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Reflected - Avg per 10 Min,,,,,,,,,,,,,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swift Strike Resets - Avg per 10 Min NYI,,,,,,,,,,,,,16.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonstrike Kills,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonstrike Kills - Most in Game,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm Arrow Kills,,,,,,,,,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm Arrow Kills - Most in Game,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Range Final Blows - Most in Game,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,,,2,3,,,,,,,,,,
Dragonstrike Kills - Avg per 10 Min,,,,,,,,,,,,,,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm Arrow Kills - Avg per 10 Min,,,,,,,,,,,,,,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Avg per 10 Min,,,,,,,,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,3.99,,,,
Pylon Healing,,,,,,,,,,,,,,,27183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunstruck Detonations,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Damage,,,,,,,,,,,,,,,5448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pylon Healing - Most in Game,,,,,,,,,,,,,,,6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captive Sun Damage - Most in Game,,,,,,,,,,,,,,,1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunstruck Detonations - Most in Game,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secondary Fire Accuracy,,,,,,,,,,,,,,,62,,,,,,,,,,64,,,,,,,,,,,8,,,,,67,,67,
Pylon Healing - Avg per 10 Min,,,,,,,,,,,,,,,4514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captive Sun Damage - Avg per 10 Min,,,,,,,,,,,,,,,905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pylon Uptime Percentage,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Fire Accuracy,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,45,,,,,68,,39,
Sunstruck Detonations - Avg per 10 Min,,,,,,,,,,,,,,,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagged Blade Kills,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagged Blade Kills - Most in Game,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagged Blade Accuracy - Best in Game,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnage Kills,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnage Kills - Most in Game,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rampage Kills,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rampage Kills - Most in Game,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wound Uptime Percentage,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagged Blade Accuracy,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagged Blade Kills - Avg per 10 Min,,,,,,,,,,,,,,,,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnage Kills - Avg per 10 Min,,,,,,,,,,,,,,,,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rampage Kills - Avg per 10 Min,,,,,,,,,,,,,,,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Trapped - Most in Game,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Trapped,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIP-Tire Kills - Most in Game,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIP-Tire Kills,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concussion Mine Kills,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concussion Mine Kills - Most in Game,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concussion Mine Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIP-Tire Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Hit Accuracy,,,,,,,,,,,,,,,,,23,,,,,,,,,,24,,,,,587,,,,,,,39,,,,,
Enemies Trapped - Avg per 10 Min,,,,,,,,,,,,,,,,,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Kill - Most in Game,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Orbital Ray Assists,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Orbital Ray Assist - Most in Game,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Orbital Ray Assists - Avg per 10 Min,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative Effects Cleansed - Most in Game,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
Kitsune Rush Assists,,,,,,,,,,,,,,,,,,,687,,,,,,,,,,,,,,,,,,,,,,,,,
Kitsune Rush Assists - Most in Game,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,
Kunai Kills,,,,,,,,,,,,,,,,,,,308,,,,,,,,,,,,,,,,,,,,,,,,,
Kunai Kills - Most in Game,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,
Kunai Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,11.02,,,,,,,,,,,,,,,,,,,,,,,,,
Negative Effects Cleansed - Avg per 10 Min,,,,,,,,,,,,,,,,,,,4.33,,,,,,,,,,,,,,,,,,,,,,,,,
Kitsune Rush Assists - Avg per 10 Min,,,,,,,,,,,,,,,,,,,24.58,,,,,,,,,,,,,,,,,,,,,,,,,
Life Grip Deaths Prevented,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Life Grip Deaths Prevented - Most in Game,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Thorn Volley Kills,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,
Thorn Volley Kills - Most in Game,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,
Tree of Life Healing - Most in Game,,,,,,,,,,,,,,,,,,,,1004,,,,,,,,,,,,,,,,,,,,,,,,
Thorn Volley Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,11.52,,,,,,,,,,,,,,,,,,,,,,,,
Tree of Life Healing - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,1187,,,,,,,,,,,,,,,,,,,,,,,,
Life Grip Deaths Prevented - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,1.65,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kill,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,
Sound Barriers Provided,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,
Sound Barriers Provided - Most in Game,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,
Players Knocked Back - Most in Game,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
Sound Barrier Damage Mitigated,,,,,,,,,,,,,,,,,,,,,856,,,,,,,,,,,,,,,,,,,,,,,
Healing Boost Usage,,,,,,,,,,,,,,,,,,,,,1416,,,,,,,,,,,,,,,,,,,,,,,
Speed Boost Usage,,,,,,,,,,,,,,,,,,,,,1252,,,,,,,,,,,,,,,,,,,,,,,
Players Knocked Back - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,31.21,,,,,,,,,,,,,,,,,,,,,,,
Sound Barriers Provided - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,9.78,,,,,,,,,,,,,,,,,,,,,,,
Game Won,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1
Hero Win,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
Overrun Kills,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,
Overrun Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,
Cage Fight Kills,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,
Cage Fight Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage,,,,,,,,,,,,,,,,,,,,,,107409,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Most in Game,,,,,,,,,,,,,,,,,,,,,,11370,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,5595,,,,,,,,,,,,,,,,,,,,,,
Overrun Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,7.45,,,,,,,,,,,,,,,,,,,,,,
Cage Fight Kills- Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,
Enemies Frozen,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,
Enemies Frozen - Most in Game,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
Blizzard Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
Blizzard Kills,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,
Icicle Accuracy,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,
Icicle Critical Accuracy,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,
Blizzard Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,
Enemies Frozen - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,8.17,,,,,,,,,,,,,,,,,,,,,
Blaster Kills,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,
Blaster Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,
Players Resurrected,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,
Players Resurrected - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
Valkyrie Healing Done,,,,,,,,,,,,,,,,,,,,,,,,17834,,,,,,,,,,,,,,,,,,,,
Valkyrie Damage Done,,,,,,,,,,,,,,,,,,,,,,,,1536,,,,,,,,,,,,,,,,,,,,
Valkyrie Damage Done - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,980,,,,,,,,,,,,,,,,,,,,
Valkyrie Healing Done - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,1338,,,,,,,,,,,,,,,,,,,,
Players Resurrected - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,
Healing Beam Usage,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,
Valkyrie Damage Done - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,364,,,,,,,,,,,,,,,,,,,,
Blaster Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,2.86,,,,,,,,,,,,,,,,,,,,
Offensive Beam Usage,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,
