,all-heroes,ana,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,genji,hazard,hanzo,illari,junker-queen,junkrat,kiriko,lifeweaver,lucio,mei,mercy,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5
Damage,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Support,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4
Eliminations per Life,,1.5,1.73,0.5,2.64,1.62,1.83,3.28,2.47,2.89,3.53,,1.55,13,5.1,1.77,2.41,,2.48,,0.61,1.9,4,2.29,1.5,2.71,2.74,3.25,3.17,2.61,4,2.76,6.17,,2.7,0.38,1.95,3.98,3.49,2.17,3.51,1.6
Win Percentage,,68,57,6,23,61,65,56,55,55,70,,44,100,86,55,59,,70,91,47,28,100,44,100,69,55,62,,49,86,83,99,100,45,11,64,85,61,,31,61
All Damage Done,,18784,15166,1923,27984,14901,32518,108459,279828,29999,163948,1054,50106,6968,17687,17003,23216,300,51045,5102,5632,5914,8987,17800,5045,29778,39670,109112,9821,58397,21630,26879,18649,3850,26672,4322,171511,92240,145544,9197,74294,37307
Obj Contest Time,,26,0,,5,,8,35,552,32,92,2,63,15,89,2,98,,29,,,4,18,,25,26,23,45,,136,61,38,,,11,,32,118,166,21,45,5
Weapon Accuracy,,22,39,39,28,,45,27,28,25,29,10,33,68,47,29,38,34,33,,31,,27,51,48,29,,26,,30,33,35,36,24,35,48,41,59,35,51,48,30
Offensive Assists - Avg per 10 Min,,9.97,,,,4.33,,,,,,,,3.0,,3.05,3.66,,11.17,,14.65,,12.93,,,,3.47,4.66,8.41,,,8.12,,,,,,,,,3.01,13.48
Defensive Assists - Avg per 10 Min,,9.15,,,,24.82,,,,,,,,,,,10.98,,9.8,,16.97,9.72,,,,,,,,,3.05,,,,,,,,,,9.58,9.96
Scoped Critical Hits,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,,,,,
Scoped Critical Hits - Most in Game,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,
Dynamite Kills,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamite Kills - Most in Game,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills - Most in Game,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kill,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kill - Most in Game,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Critical Hit Kills,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,
Long Range Final Blow,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Long Range Final Blow - Most in Game,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
Scoped Critical Hit Kills - Avg per 10 Min,,,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92,,,,,
Long Range Final Blows - Avg per 10 Min,,,3.93,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,0.16,1.59,,,,,,5.8,,,,,
Scoped Critical Hit Accuracy,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,
Bob Kills - Avg per 10 Min,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamite Kills - Avg per 10 Min,,,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Critical Hits - Avg per 10 Min,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,,,,,
Coach Gun Kills - Avg per 10 Min,,,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hits - Most in Game,,,10,,18,,14,213,171,34,28,,14,18,78,,22,10,15,,8,,,,26,118,,180,,36,17,31,,8,64,,21,,239,,,31
