,all-heroes,ana,ashe,bastion,brigitte,cassidy,dva,doomfist,genji,hanzo,junkrat,lucio,mei,mercy,moira,orisa,pharah,reaper,reinhardt,roadhog,sigma,soldier-76,sombra,symmetra,torbjorn,tracer,widowmaker,winston,zarya,zenyatta
Tank,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3
Damage,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1
Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Games Lost,410,,1,50,0,25,21,0,2,14,9,0,2,43,3,4,61,12,12,8,0,91,1,1,1,15,26,2,2,2
Objective Time,28609,11,191,929,10,883,2716,106,75,902,907,34,20,2538,213,314,4989,935,1149,650,0,8700,62,38,2,984,893,168,48,142
Eliminations,11380,4,30,1914,2,404,752,33,12,352,261,,9,27,96,66,2912,349,221,186,,2629,10,28,,313,726,10,11,21
Environmental Kills,56,,,,,,,,,,,,,,,,51,,,,,2,,,,,,,,
Hero Damage Done,1602841,368,6553,26569,370,135901,43347,6382,5349,111544,94364,140,3008,1770,24380,22774,576872,111572,64018,52095,984,34084,1752,7160,2028,91673,163932,3731,3972,6148
Final Blows,6182,,17,1206,,220,279,18,5,220,153,,3,9,21,14,1776,199,105,89,,1160,6,9,,149,510,3,,9
Deaths,5676,7,10,781,5,289,221,10,17,172,131,4,12,522,42,35,1038,136,137,93,3,1320,10,23,8,166,435,17,10,22
Damage Done,1602841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,4254,,13,674,,103,258,8,5,138,108,,4,8,45,32,1009,142,86,66,,1207,3,13,,128,184,6,2,10
Melee Final Blows,14,,,,,,,,,,,,,,,,,,,7,,,,,,,2,,,
Objective Contest Time,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,1733,,4,397,,59,68,6,2,53,32,,,4,2,,506,45,14,20,,253,2,3,,40,217,,,2
Multikills,105,,,18,,,6,,,,2,,,,2,,47,4,,,,20,,,,,,,,
Recon Assists,268,,,,,,,,,82,,,,,,,,,,,,,,,,,186,,,
Defensive Assists,1005,2,,,4,,,,,,,,,884,67,,,,,,,17,,,,,,,,30
Offensive Assists,244,,,,,,,,,,23,,4,91,,25,,,28,45,,,,,,,,,3,22
Healing Done,857463,772,,80425,1333,,11,,,,,1397,940,475741,30648,,,19594,,45525,,185748,1308,,,,,,,13030
Cards,314,,,62,,3,21,,,5,5,,,45,,,76,10,8,3,,57,,,,6,7,,,2
Scoped Accuracy - Best in Game,,51,40,,,,,,,,,,,,,,,,,,,,,,,,100,,,
Self Healing,,100,,80425,173,,,,,,,557,940,69488,6878,,,19594,,45525,,117551,,,,12123,,,,
Self Healing - Most in Game,,100,,2617,,,,,,,,412,300,1697,1730,,,2807,,4826,,1607,,,,880,,,,
Unscoped Accuracy - Best in Game,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kill,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Amplified,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Amplified - Most in Game,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Accuracy,,50,35,,,,,,,,,,,,,,,,,,,,,,,,41,,,
Self Healing - Avg per 10 Min,,123,,826,421,,,,,,,1408,918,1145,1338,,,1139,,3688,,843,,,,730,,,,
Healing Amplified - Avg per 10 Min,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills - Avg per 10 Min,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elimination - Most in Life,,1,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,
All Damage Done - Most in Life,,671,1893,17827,367,3409,10013,2096,1405,6350,5936,349,746,260,3003,5181,11065,6651,4481,8026,913,8503,461,1808,886,4227,4406,1023,1711,1736
Weapon Accuracy - Best in Game,,19,45,39,,49,100,17,23,31,46,28,40,100,,30,100,31,,34,,60,55,24,23,35,100,,70,34
Objective Kill - Most in Game,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Damage Done - Most in Life,,193,1513,4425,188,2287,3609,1593,1072,4110,4298,140,574,200,2784,2099,5414,5868,3463,3589,879,2497,461,1259,718,3828,3981,896,1089,710
All Damage Done - Avg per 10 Min,,3049,5587,9782,2020,5782,8541,5524,6499,8064,10407,1953,3339,148,5557,9658,10319,8900,6843,7587,3704,7895,2090,4764,4046,7189,5238,4053,6023,5014
Eliminations per Life,,0.57,3,2.45,0.4,1.4,3.4,3.3,0.71,2.05,1.99,,0.75,0.05,2.29,1.89,2.81,2.57,1.61,2,0.33,1.99,,1.22,0.13,1.89,1.67,0.59,1.1,0.95
Win Percentage,,17,55,62,36,34,54,90,18,49,54,79,13,46,58,39,63,42,49,44,,48,,67,18,30,62,20,,48
Game Lost,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Damage Done,,2472,7140,952268,829,170809,305999,7734,9665,172563,166723,772,3419,8966,28572,47522,1268988,153110,111296,93663,1092,1101480,1843,11652,2915,119301,270116,5984,6416,12796
Objective Kill,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Accuracy,,19,47,21,,34,24,18,22,18,21,14,25,24,,19,47,20,,22,,29,27,24,16,30,33,,36,26
Offensive Assist,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
Offensive Assist - Most in Game,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,
Defensive Assist - Most in Game,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Offensive Assists - Avg per 10 Min,,1.23,,,2.44,,,,,,1.44,,3.91,1.5,,5.08,,,1.72,3.65,,,1.13,,,,,,2.82,8.62
Defensive Assists - Avg per 10 Min,,2.47,,,9.75,,,,,,,,,14.57,13.03,,,,,,,0.12,,,,,,,0.94,11.76
Scoped Critical Hits,,,12,,,,,,,,,,,,,,,,,,,,,,,,369,,,
Scoped Critical Hits - Most in Game,,,2,,,,,,,,,,,,,,,,,,,,,,,,8,,,
Dynamite Kill,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamite Kill - Most in Game,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills - Most in Game,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Critical Hit Kills,,,4,,,,,,,,,,,,,,,,,,,,,,,,19,,,
Scoped Critical Hit Kills - Avg per 10 Min,,,3.13,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,
Scoped Critical Hit Accuracy,,,20,,,,,,,,,,,,,,,,,,,,,,,,17,,,
Dynamite Kills - Avg per 10 Min,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills - Avg per 10 Min,,,6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Critical Hits - Avg per 10 Min,,,9.39,,,,,,,,,,,,,,,,,,,,,,,,7.16,,,
Eliminations - Most in Life,,,10,19,,12,26,10,2,13,13,,3,3,11,8,27,17,12,14,,18,4,5,,12,21,3,3,5
Critical Hits - Most in Game,,,6,126,,15,415,,10,10,,3,2,4,,,,167,,218,,39,,,,139,18,,,4
Critical Hits - Most in Life,,,3,61,,6,355,,6,7,,2,2,4,,,,53,,122,,19,,,,48,12,,,2
Critical Hits - Avg per 10 Min,,,9.39,41.65,,7.79,207,,14.12,5.42,,10.11,6.84,0.63,,,,90.04,,104,,18.69,1.13,,,89.24,9.44,,,5.09
Critical Hits,,,12,4055,,230,7401,,21,116,,4,7,38,,,,1549,,1280,,2608,,,,1481,487,,,13
Critical Hit Accuracy,,,8,7,,11,8,,13,9,,8,25,9,,,,8,,16,,5,0,,,8,14,,,5
Card,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,
Overhealth Provided,,,,,575,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Provided - Most in Game,,,,,347,,,,,,,,,,,,,,,,,,,,,,,,,
Inspire Uptime Percentage,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Provided - Avg per 10 Min,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,
Knockback Kill,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Knockback Kills - Avg per 10 Min,,,,,2.44,,0.12,,,,0.22,,,,,,,,0.34,0.7,,,,,,,,,,
Deadeye Kills,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,
Deadeye Kills - Most in Game,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills - Most in Game,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills - Most in Game,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Long Range Final Blow,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Long Range Final Blows - Avg per 10 Min,,,,,,1.39,,,,,,,,,,,,,,,,,,,,,,,,
Deadeye Kills - Avg per 10 Min,,,,,,1.59,,,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills - Avg per 10 Min,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills - Avg per 10 Min,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,
Melee Final Blow - Most in Game,,,,,,1,,1,,1,,,,,,,1,,,,,,,,,1,1,,,
Critical Hit Kill - Most in Game,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Obj Contest Time - Most in Game,,,,,,34,,,,,,,,,,,7,,,,,,,,,,,,,
Critical Hit Kills - Avg per 10 Min,,,,,,1.39,,,,,,,,,,,,,,,,,,,,,,,,
Obj Contest Time - Avg per 10 Min,,,,,,48,,,,,,,,,,,48,,,,,,,,,,,,,
Melee Final Blows - Avg per 10 Min,,,,,,0.03,,0.71,,0.05,,,,,,,0.01,,,0.57,,,,,,0.06,0.04,,,
Multikill,,,,,,1,,,,,,,,,,,,,1,1,,,,,,1,1,,1,
Melee Final Blow,,,,,,1,,1,,1,,,,,,,1,,,,,,,,,1,,,,
Critical Hit Kill,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Obj Contest Time,,,,,,34,,,,,,,,,,,7,,,,,,,,,,,,,
Self-Destruct Kills,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,
Self-Destruct Kills - Most in Game,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
Self-Destruct Kills - Avg per 10 Min,,,,,,,2.23,,,,,,,,,,,,,,,,,,,,,,,
Call Mech Kills - Avg per 10 Min,,,,,,,2.23,,,,,,,,,,,,,,,,,,,,,,,
Environmental Kill,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,
Environmental Kills - Avg per 10 Min,,,,,,,0.03,,,,0.06,,,,,,0.41,,,0.08,,0.01,,,,,,,,
Meteor Strike Kills,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kills - Most in Game,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Overhealth Created,,,,,,,,1995,,,,,,,,,,,,,,,,,,,,,,
Overhealth Created - Most in Game,,,,,,,,1025,,,,,,,,,,,,,,,,,,,,,,
Overhealth Created - Avg per 10 Min,,,,,,,,1425,,,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kills - Avg per 10 Min,,,,,,,,2.14,,,,,,,,,,,,,,,,,,,,,,
Dragonblade Kills,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
Dragonblade Kills - Most in Game,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Damage Reflected,,,,,,,,,1937,,,,,,,,,,,,,,,,,,,,,
Damage Reflected - Most in Game,,,,,,,,,1270,,,,,,,,,,,,,,,,,,,,,
Dragonblade Kills - Avg per 10 Min,,,,,,,,,2.02,,,,,,,,,,,,,,,,,,,,,
Damage Reflected - Avg per 10 Min,,,,,,,,,1303,,,,,,,,,,,,,,,,,,,,,
Solo Kill - Most in Game,,,,,,,,,1,,,,1,,1,,,,,,,,1,,1,,,1,1,
Dragonstrike Kills,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,
Dragonstrike Kills - Most in Game,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
Storm Arrow Kills,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,
Storm Arrow Kills - Most in Game,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
Dragonstrike Kills - Avg per 10 Min,,,,,,,,,,1.68,,,,,,,,,,,,,,,,,,,,
Storm Arrow Kills - Avg per 10 Min,,,,,,,,,,5.27,,,,,,,,,,,,,,,,,,,,
Recon Assists - Avg per 10 Min,,,,,,,,,,3.83,,,,,,,,,,,,,,,,,3.61,,,
Enemies Trapped - Most in Game,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,
Enemies Trapped,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,
RIP-Tire Kills - Most in Game,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
RIP-Tire Kills,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,
Concussion Mine Kills,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,
Concussion Mine Kills - Most in Game,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,
Concussion Mine Kills - Avg per 10 Min,,,,,,,,,,,3.87,,,,,,,,,,,,,,,,,,,
Direct Hit Accuracy,,,,,,,,,,,11,,,,,,20,,,,,,,,,,,,,
RIP-Tire Kills - Avg per 10 Min,,,,,,,,,,,2.93,,,,,,,,,,,,,,,,,,,
Enemies Trapped - Avg per 10 Min,,,,,,,,,,,4.93,,,,,,,,,,,,,,,,,,,
Knockback Kills,,,,,,,,,,,3,,,,,,,,4,7,,,,,,,,,,
Enemies Frozen,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,
Enemies Frozen - Most in Game,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
Blizzard Kills - Most in Game,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
Blizzard Kills,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
Blizzard Kills - Avg per 10 Min,,,,,,,,,,,,,3.91,,,,,,,,,,,,,,,,,
Enemies Frozen - Avg per 10 Min,,,,,,,,,,,,,7.81,,,,,,,,,,,,,,,,,
Solo Kill,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,1,
Blaster Kills,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,
Blaster Kills - Most in Game,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
Players Resurrected,,,,,,,,,,,,,,254,,,,,,,,,,,,,,,,
Players Resurrected - Most in Game,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,
Damage Amplified,,,,,,,,,,,,,,4148,,7306,,,,,,,,,,,,,,
Damage Amplified - Most in Game,,,,,,,,,,,,,,1323,,1988,,,,,,,,,,,,,,
Valkyrie Healing Done,,,,,,,,,,,,,,6481,,,,,,,,,,,,,,,,
Damage Amplified - Avg per 10 Min,,,,,,,,,,,,,,68.36,,1485,,,,,,,,,,,,,,
Players Resurrected - Avg per 10 Min,,,,,,,,,,,,,,4.19,,,,,,,,,,,,,,,,
Blaster Kills - Avg per 10 Min,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,
Coalescence Kills,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
Coalescence Kills - Most in Game,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
Coalescence Healing,,,,,,,,,,,,,,,3747,,,,,,,,,,,,,,,
Coalescence Healing - Most in Game,,,,,,,,,,,,,,,1128,,,,,,,,,,,,,,,
Secondary Fire Accuracy,,,,,,,,,,,,,,,33,,,,,,,,,24,,,,,,
Coalescence Kills - Avg per 10 Min,,,,,,,,,,,,,,,3.31,,,,,,,,,,,,,,,
Coalescence Healing - Avg per 10 Min,,,,,,,,,,,,,,,729,,,,,,,,,,,,,,,
Rocket Direct Hits,,,,,,,,,,,,,,,,,5408,,,,,,,,,,,,,
Barrage Kills,,,,,,,,,,,,,,,,,451,,,,,,,,,,,,,
Rocket Direct Hits - Most in Game,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,
Barrage Kills - Most in Game,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,
Barrage Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,3.67,,,,,,,,,,,,,
Airtime Percentage,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,
Rocket Direct Hits - Avg per 10 Min,,,,,,,,,,,,,,,,,43.98,,,,,,,,,,,,,
Death Blossom Kills,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,
Death Blossom Kills - Most in Game,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,
Death Blossom Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,
Charge Kills,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,
Charge Kills - Most in Game,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
Fire Strike Kills,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,
Fire Strike Kills - Most in Game,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
Earthshatter Kills,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,
Earthshatter Kills - Most in Game,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
Earthshatter Stuns,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,
Charge Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,1.91,,,,,,,,,,,
Earthshatter Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,2.15,,,,,,,,,,,
Fire Strike Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,4.24,,,,,,,,,,,
Earthshatter Stuns - Avg per 10 Min,,,,,,,,,,,,,,,,,,,2.77,,,,,,,,,,,
Whole Hog Kills - Most in Game,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
Whole Hog Kills,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,
Chain Hook Accuracy - Best in Game,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,
Chain Hook Accuracy,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,
Whole Hog Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,1.78,,,,,,,,,,
Elimination - Most in Game,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,
Elimination,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,
Helix Rocket Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
Helix Rocket Kills,,,,,,,,,,,,,,,,,,,,,,614,,,,,,,,
Tactical Visor Kills,,,,,,,,,,,,,,,,,,,,,,404,,,,,,,,
Tactical Visor Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,
Tactical Visor Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,
Helix Rocket Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,
Enemies Hacked,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,
Enemies Hacked - Most in Game,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
Enemies Hacked - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,14.75,,,,,,,
Elimination per Life,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Critical Hit,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Sentry Turret Kills,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,
Sentry Turret Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
Players Teleported,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,
Players Teleported - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
Secondary Direct Hits,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
Primary Fire Accuracy,,,,,,,,,,,,,,,,,,,,,,,,54,,,,37,21,
Players Teleported - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,
Sentry Turret Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,4.91,,,,,,
Secondary Direct Hits - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,2.86,,,,,,
Turret Kill,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Turret Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,1.39,,,,,
Final Blow - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
Final Blow,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
Pulse Bomb Kills,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,
Pulse Bomb Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
Pulse Bombs Attached - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
Pulse Bombs Attached,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
Pulse Bomb Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,,,,
Pulse Bomb Attach Rate,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,
Pulse Bombs Attached - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,,,,
Venom Mine Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,
Venom Mine Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
Venom Mine Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,,
